timestamp,can_id,byte_0,byte_1,byte_2,byte_3,byte_4,byte_5,byte_6,byte_7
166.15494999999999,101,0,0,0,0,0,0,0,0
166.35209999999998,111,31,188,111,73,251,13,80,128
166.35309999999998,101,0,0,0,0,0,0,0,0
166.54999999999998,111,27,164,175,73,255,253,15,128
166.55095,101,0,0,0,0,0,0,0,0
166.748,111,27,204,207,73,252,233,79,128
166.74894999999998,101,0,0,0,0,0,0,0,0
166.946,111,31,180,207,201,255,245,79,128
166.94695,101,0,0,0,0,0,0,0,0
167.144,111,33,204,239,73,3,2,48,128
167.3425,101,0,0,0,0,0,0,0,0
167.34369999999998,111,29,188,143,73,252,17,48,128
167.54,111,29,188,207,73,2,254,207,127
167.73825,101,0,0,0,0,0,0,0,0
167.7395,111,31,204,175,201,254,241,47,128
167.93625,101,0,0,0,0,0,0,0,0
167.93744999999998,111,29,180,15,74,3,234,47,128
168.13424999999998,101,0,0,0,0,0,0,0,0
168.13559999999998,111,33,220,207,201,2,254,239,127
168.33259999999999,101,0,0,0,0,0,0,0,0
168.3336,111,33,212,79,73,4,22,48,128
168.53045,101,0,0,0,0,0,0,0,0
168.5315,111,29,188,207,201,255,241,47,128
168.7285,101,0,0,0,0,0,0,0,0
168.72944999999999,111,27,204,175,201,253,229,47,128
168.9265,101,0,0,0,0,0,0,0,0
168.92749999999998,111,33,188,239,73,1,238,239,127
169.12449999999998,101,0,0,0,0,0,0,0,0
169.1256,111,35,204,239,201,253,253,79,128
169.32264999999998,101,0,0,0,0,0,0,0,0
169.32365,111,33,188,175,201,3,26,48,128
169.52025,101,0,0,0,0,0,0,0,0
169.5215,111,29,180,175,201,1,254,47,128
169.7183,101,0,0,0,0,0,0,0,0
169.71949999999998,111,27,196,175,201,251,233,47,128
169.91625,101,0,0,0,0,0,0,0,0
169.9175,111,29,180,175,73,253,241,47,128
170.11425,101,0,0,0,0,0,0,0,0
170.11565,111,31,212,175,73,251,13,80,128
170.3124,101,0,0,0,0,0,0,0,0
170.31365,111,29,180,143,73,2,22,48,128
170.51024999999998,101,0,0,0,0,0,0,0,0
170.51145,111,29,188,239,73,255,245,15,128
170.70825,101,0,0,0,0,0,0,0,0
170.7095,111,31,204,175,73,253,225,47,128
170.90644999999998,101,0,0,0,0,0,0,0,0
170.90744999999998,111,33,204,239,201,2,254,15,128
171.10444999999999,101,0,0,0,0,0,0,0,0
171.10559999999998,111,35,204,143,201,254,9,48,128
171.30265,101,0,0,0,0,0,0,0,0
171.3037,111,31,172,239,73,4,22,240,127
171.5005,101,0,0,0,0,0,0,0,0
171.5015,111,25,196,143,73,255,245,47,128
171.6985,101,0,0,0,0,0,0,0,0
171.6995,111,29,188,143,201,253,225,47,128
171.8965,101,0,0,0,0,0,0,0,0
171.89749999999998,111,33,212,15,74,1,246,239,127
172.09449999999998,101,0,0,0,0,0,0,0,0
172.0956,111,35,204,207,201,255,9,80,128
172.2927,101,0,0,0,0,0,0,0,0
172.2937,111,27,164,143,73,1,22,48,128
172.4905,101,0,0,0,0,0,0,0,0
172.4915,111,25,196,143,73,253,249,79,128
172.6885,101,0,0,0,0,0,0,0,0
172.68949999999998,111,27,180,207,201,251,229,47,128
172.88645,101,0,0,0,0,0,0,0,0
172.8875,111,33,196,15,74,1,246,15,128
173.08445,101,0,0,0,0,0,0,0,0
173.08565,111,35,204,143,201,255,13,80,128
173.28265,101,0,0,0,0,0,0,0,0
173.28369999999998,111,33,180,239,201,7,22,240,127
173.48045,101,0,0,0,0,0,0,0,0
173.48149999999998,111,27,212,143,201,255,245,47,128
173.67845,101,0,0,0,0,0,0,0,0
173.6795,111,29,196,239,73,255,229,15,128
173.8765,101,0,0,0,0,0,0,0,0
173.8775,111,31,204,207,201,255,241,15,128
174.0745,101,0,0,0,0,0,0,0,0
174.07559999999998,111,35,204,111,201,252,21,80,128
174.27275,101,0,0,0,0,0,0,0,0
174.27374999999998,111,27,172,143,73,2,14,16,128
174.4705,101,0,0,0,0,0,0,0,0
174.4715,111,25,204,111,201,251,237,79,128
174.66805,111,29,172,207,73,0,242,239,127
174.66864999999999,101,0,0,0,0,0,0,0,0
174.86605,111,33,196,239,73,254,249,47,128
174.86665,101,0,0,0,0,0,0,0,0
175.06404999999998,111,35,204,143,73,4,10,48,128
175.06465,101,0,0,0,0,0,0,0,0
175.26219999999998,111,29,180,175,201,2,2,48,128
175.2628,101,0,0,0,0,0,0,0,0
175.45999999999998,111,29,212,175,73,255,237,15,128
175.46065,101,0,0,0,0,0,0,0,0
175.658,111,29,188,239,201,0,242,239,127
175.65865,101,0,0,0,0,0,0,0,0
175.856,111,31,196,239,201,250,245,79,128
175.85665,101,0,0,0,0,0,0,0,0
176.0545,101,0,0,0,0,0,0,0,0
176.05464999999998,111,33,196,143,201,255,13,80,128
176.25225,111,25,164,175,73,255,5,80,128
176.25285,101,0,0,0,0,0,0,0,0
176.4505,101,0,0,0,0,0,0,0,0
176.45065,111,27,212,175,73,250,233,47,128
176.64849999999998,101,0,0,0,0,0,0,0,0
176.6495,111,31,196,239,201,255,237,15,128
176.8465,101,0,0,0,0,0,0,0,0
176.8475,111,37,212,239,73,254,253,79,128
177.0445,101,0,0,0,0,0,0,0,0
177.04559999999998,111,31,196,143,73,5,14,48,128
177.2422,111,29,204,175,73,1,254,47,128
177.2428,101,0,0,0,0,0,0,0,0
177.44004999999999,111,29,180,239,201,255,229,15,128
177.44065,101,0,0,0,0,0,0,0,0
177.63805,111,31,196,239,201,255,237,15,128
177.63864999999998,101,0,0,0,0,0,0,0,0
177.83605,111,33,204,175,73,253,1,80,128
177.83665,101,0,0,0,0,0,0,0,0
178.03404999999998,111,31,180,143,201,3,18,48,128
178.03465,101,0,0,0,0,0,0,0,0
178.2322,111,31,212,143,73,255,245,79,128
178.2328,101,0,0,0,0,0,0,0,0
