"timestamp","file_name","byte_4","byte_4_diff","driving_state"
"385.4568","00000001-69B82837.MF4","2","253.0","driving"
"385.65479999999997","00000001-69B82837.MF4","255","253.0","driving"
"385.8528","00000001-69B82837.MF4","0","255.0","driving"
"386.051","00000001-69B82837.MF4","0","0.0","idle"
"386.25025","00000001-69B82837.MF4","0","0.0","idle"
"386.44825","00000001-69B82837.MF4","1","1.0","idle"
"386.64625","00000001-69B82837.MF4","254","253.0","driving"
"386.84425","00000001-69B82837.MF4","0","254.0","driving"
"387.04255","00000001-69B82837.MF4","253","253.0","driving"
"387.24025","00000001-69B82837.MF4","254","1.0","idle"
"387.43825","00000001-69B82837.MF4","254","0.0","idle"
"387.63624999999996","00000001-69B82837.MF4","254","0.0","idle"
"387.83425","00000001-69B82837.MF4","0","254.0","driving"
"388.0326","00000001-69B82837.MF4","254","254.0","driving"
"388.2303","00000001-69B82837.MF4","0","254.0","driving"
"388.4283","00000001-69B82837.MF4","0","0.0","idle"
"388.62629999999996","00000001-69B82837.MF4","255","255.0","driving"
"388.8243","00000001-69B82837.MF4","1","254.0","driving"
"389.0225","00000001-69B82837.MF4","254","253.0","driving"
"389.2203","00000001-69B82837.MF4","254","0.0","idle"
"389.41825","00000001-69B82837.MF4","254","0.0","idle"
"389.61625","00000001-69B82837.MF4","254","0.0","idle"
"389.81424999999996","00000001-69B82837.MF4","0","254.0","driving"
"390.01265","00000001-69B82837.MF4","254","254.0","driving"
"390.21025","00000001-69B82837.MF4","0","254.0","driving"
"390.40825","00000001-69B82837.MF4","253","253.0","driving"
"390.6063","00000001-69B82837.MF4","254","1.0","idle"
"390.8028","00000001-69B82837.MF4","255","1.0","idle"
"391.0009","00000001-69B82837.MF4","255","0.0","idle"
"391.1988","00000001-69B82837.MF4","1","254.0","driving"
"391.3968","00000001-69B82837.MF4","0","1.0","idle"
"391.5963","00000001-69B82837.MF4","1","1.0","idle"
"391.79429999999996","00000001-69B82837.MF4","254","253.0","driving"
"391.9926","00000001-69B82837.MF4","255","1.0","idle"
"392.1903","00000001-69B82837.MF4","0","255.0","driving"
"392.38829999999996","00000001-69B82837.MF4","255","255.0","driving"
"392.58625","00000001-69B82837.MF4","1","254.0","driving"
"394.5648","00000001-69B82837.MF4","255","254.0","driving"
"394.7643","00000001-69B82837.MF4","255","0.0","idle"
"394.96099999999996","00000001-69B82837.MF4","254","1.0","idle"
"395.1588","00000001-69B82837.MF4","252","2.0","idle"
"395.35679999999996","00000001-69B82837.MF4","252","0.0","idle"
"395.5548","00000001-69B82837.MF4","12","240.0","driving"
"395.7528","00000001-69B82837.MF4","253","241.0","driving"
"395.9511","00000001-69B82837.MF4","0","253.0","driving"
"396.1488","00000001-69B82837.MF4","0","0.0","idle"
"396.34684999999996","00000001-69B82837.MF4","253","253.0","driving"
"396.54485","00000001-69B82837.MF4","0","253.0","driving"
"396.74285","00000001-69B82837.MF4","255","255.0","driving"
"396.94095","00000001-69B82837.MF4","255","0.0","idle"
"397.1388","00000001-69B82837.MF4","255","0.0","idle"
"397.3368","00000001-69B82837.MF4","255","0.0","idle"
"397.53479999999996","00000001-69B82837.MF4","255","0.0","idle"
"397.7328","00000001-69B82837.MF4","255","0.0","idle"
"397.931","00000001-69B82837.MF4","255","0.0","idle"
"398.12879999999996","00000001-69B82837.MF4","255","0.0","idle"
"398.3268","00000001-69B82837.MF4","255","0.0","idle"
"398.52479999999997","00000001-69B82837.MF4","255","0.0","idle"
"398.72285","00000001-69B82837.MF4","255","0.0","idle"
"398.92085","00000001-69B82837.MF4","255","0.0","idle"
"399.11885","00000001-69B82837.MF4","255","0.0","idle"
"399.31685","00000001-69B82837.MF4","0","255.0","driving"
"399.51484999999997","00000001-69B82837.MF4","255","255.0","driving"
"399.71285","00000001-69B82837.MF4","0","255.0","driving"
"399.9111","00000001-69B82837.MF4","0","0.0","idle"
"400.10884999999996","00000001-69B82837.MF4","255","255.0","driving"
"400.3068","00000001-69B82837.MF4","255","0.0","idle"
"400.5048","00000001-69B82837.MF4","255","0.0","idle"
"400.70279999999997","00000001-69B82837.MF4","255","0.0","idle"
"400.90085","00000001-69B82837.MF4","255","0.0","idle"
"401.09884999999997","00000001-69B82837.MF4","255","0.0","idle"
"401.29685","00000001-69B82837.MF4","255","0.0","idle"
"401.49485","00000001-69B82837.MF4","255","0.0","idle"
"401.69284999999996","00000001-69B82837.MF4","255","0.0","idle"
"401.8909","00000001-69B82837.MF4","255","0.0","idle"
"402.08885","00000001-69B82837.MF4","255","0.0","idle"
"402.28684999999996","00000001-69B82837.MF4","255","0.0","idle"
"402.48485","00000001-69B82837.MF4","255","0.0","idle"
"402.68285","00000001-69B82837.MF4","255","0.0","idle"
"402.8809","00000001-69B82837.MF4","255","0.0","idle"
"403.07885","00000001-69B82837.MF4","255","0.0","idle"
"403.2768","00000001-69B82837.MF4","255","0.0","idle"
"403.47485","00000001-69B82837.MF4","255","0.0","idle"
"403.67285","00000001-69B82837.MF4","255","0.0","idle"
"403.87095","00000001-69B82837.MF4","255","0.0","idle"
"404.06885","00000001-69B82837.MF4","255","0.0","idle"
"404.26685","00000001-69B82837.MF4","0","255.0","driving"
"404.46484999999996","00000001-69B82837.MF4","254","254.0","driving"
"404.66285","00000001-69B82837.MF4","255","1.0","idle"
"404.86095","00000001-69B82837.MF4","255","0.0","idle"
"405.05885","00000001-69B82837.MF4","255","0.0","idle"
"405.25685","00000001-69B82837.MF4","255","0.0","idle"
"405.45484999999996","00000001-69B82837.MF4","255","0.0","idle"
"405.65285","00000001-69B82837.MF4","255","0.0","idle"
"405.85089999999997","00000001-69B82837.MF4","255","0.0","idle"
"406.05044999999996","00000001-69B82837.MF4","255","0.0","idle"
"406.2483","00000001-69B82837.MF4","255","0.0","idle"
